contract_row,player,player_key,pos,signed_team_raw,signed_team,age_at_signing,start_year,end_year_raw,yrs,value,average_salary,average_of_cap_at_sign,expected_end_year,end_year,end_year_was_fixed,stat_season,stat_player,stat_team,stat_pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa,league_avg_team_passing_yards,league_avg_team_passing_tds,league_avg_team_passing_epa,league_avg_team_rushing_yards,league_avg_team_rushing_tds,league_avg_team_rushing_epa
9505,Britain Covey,britain covey,WR,LAR LAR,LA,28,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Britain Covey,PHI,WR,5,8,7,34,0,0,2,9,28,-0.0438859926071018,0.875,4.25,4.857142857142857,0,1.125,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,22,34.41894814651905,1765,15,-29.195176007860695,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9518,Treylon Burks,treylon burks,WR,WAS WAS,WAS,25,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Treylon Burks,TEN,WR,5,8,4,34,0,0,3,135,5,0.17075724701862782,0.5,4.25,8.5,0,16.875,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3932,29,79.29114238935429,2619,25,67.61982720882696,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9520,Velus Jones,velus jones,WR,NO NO,NO,28,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3730,21,-45.184907659383995,1954,15,1.1473400271549465,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9527,Tim Jones,tim jones,WR,MIN MIN,MIN,27,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Tim Jones,JAX,WR,8,5,3,41,0,0,3,40,17,1.9941945006139576,0.6,8.2,13.666666666666666,0,8,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4379,35,56.94889132069409,1855,9,-34.77277179769543,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9536,Jacob Harris,jacob harris,WR,TB TB,TB,28,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4505,41,115.68643922132297,2536,16,20.720838278553376,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9552,Tyquan Thornton,tyquan thornton,WR,KC KC,KC,24,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Tyquan Thornton,NE,WR,4,8,4,47,0,0,2,126,24,-4.84829464572249,0.5,5.875,11.75,0,15.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4046,26,62.987778387267014,1790,15,2.584168148527116,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9557,Quintez Cephus,quintez cephus,WR,HOU HOU,HOU,26,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3952,20,-16.28401857631509,1909,15,-39.44223437320455,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9561,David Sills,david sills,WR,ATL ATL,ATL,29,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4283,21,34.316686777479276,2219,18,0.12841468861860506,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9563,Tom Kennedy,tom kennedy,WR,DET DET,DET,28,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Tom Kennedy,DET,WR,3,1,0,0,0,0,0,11,0,-2.2307364916196093,0,0,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4718,39,172.38264264151178,2488,29,9.533982670019515,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9565,Mike Strachan,mike strachan,WR,WAS WAS,WAS,27,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3932,29,79.29114238935429,2619,25,67.61982720882696,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
