season,team,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa
2011,NO,5564,46,224.62490392892278,2154,17,1.940007774094053
2011,NYG,4933,29,89.43524404839545,1427,17,-52.4814500461474
2011,NYJ,3542,26,-57.729515895390705,1692,14,-26.408731909272937
2011,PHI,4276,22,37.87625910387852,2276,20,31.46228777685075
2011,PIT,4333,21,86.96203326340337,1903,13,-18.28257793296322
2011,SEA,3444,15,-33.85551415265206,1756,15,-51.72727794476172
2011,SF,3193,18,28.716202832585466,2044,14,-42.01537757429591
2011,TB,3838,17,-45.71027456812231,1458,9,-43.05197831814402
2011,TEN,4113,22,17.077918959149528,1438,8,-44.56148598527014
2011,WAS,4058,19,-32.19184951037814,1592,8,-24.62717112528783
2012,ARI,3383,11,-187.4283778195968,1204,10,-75.3151613585965
2012,ATL,4719,32,140.8080071679022,1397,12,-58.831305433946156
2012,BAL,3996,22,10.243736701065695,1901,17,-12.47174447836801
2012,BUF,3430,24,4.373920605321221,2217,12,-6.737750880071822
2012,CAR,3927,19,55.306715150574824,2088,21,1.575585064058477
2012,CHI,3298,21,-35.6592117286879,1970,11,-25.12509232166836
2012,CIN,3807,28,2.5077894817475643,1745,11,-6.054161512748819
2012,CLE,3668,16,-39.57353750670795,1593,12,-15.115092206431164
2012,DAL,4992,29,91.26918574397078,1265,8,-35.173447437433
2012,DEN,4671,37,160.1070379526045,1832,12,-59.95730667829237
2012,DET,5139,22,47.23769929214753,1613,17,-31.723544331027128
2012,GB,4342,40,116.56832753733713,1702,9,-35.536106004274004
2012,HOU,4046,22,79.60567342002831,2123,19,-25.61289072735692
2012,IND,4374,23,12.27567650863565,1671,11,-10.124964817933247
2012,JAX,3746,20,-83.31731202893306,1369,5,-39.207572494059356
2012,KC,2937,8,-118.06390441029276,2395,9,-24.963966415634467
2012,LA,3783,22,7.723592415377346,1714,5,-34.31552880813452
2012,LAC,3606,26,-2.8154090489922505,1461,4,-54.84451319705807
2012,LV,4292,24,6.752594091834756,1420,4,-75.07913322164396
2012,MIA,3425,13,-19.38581880915974,1802,15,-31.6828702192913
2012,MIN,2935,18,-8.861507988147062,2634,16,7.172387415294745
2012,NE,4844,34,186.62781792475596,2184,25,23.26362984633556
2012,NO,5187,43,116.15252937814171,1577,10,-10.774227067489132
2012,NYG,3967,26,56.602434252741816,1862,18,-1.211378923165038
2012,NYJ,3178,14,-81.02455784186743,1896,12,-24.26153268785274
2012,PHI,4075,18,-20.899679115339595,1874,10,-54.928963135008715
2012,PIT,4012,27,57.330357509328806,1537,8,-56.85732399774909
2012,SEA,3234,27,90.68779950592554,2579,16,6.888025349702138
2012,SF,3551,23,85.14923191442426,2491,17,18.836882150864238
2012,TB,4144,27,25.185199657442,1837,13,-5.257732940363339
2012,TEN,3577,17,-38.109125260928536,1687,10,-36.89541017341222
2012,WAS,3666,24,95.68658884045637,2709,22,37.64095072229831
2013,ARI,4291,24,10.817030994019255,1540,12,-48.296146123687286
2013,ATL,4541,26,38.28415113903888,1247,11,-23.908715022571908
2013,BAL,3914,19,-43.78032331970722,1328,7,-87.0824772733226
2013,BUF,3373,16,-69.31410797939091,2307,15,-8.894589062783382
2013,CAR,3379,24,33.1253804500164,2026,14,7.889188811818805
2013,CHI,4450,32,97.99728023332877,1828,13,-6.600688001320368
2013,CIN,4318,33,68.73937487701511,1755,14,-29.80710017068133
2013,CLE,4372,26,-62.815684053827965,1383,4,-13.795837566017386
2013,DAL,4226,33,62.858861487037814,1504,12,4.278756232049744
2013,DEN,5572,55,257.50396518622523,1873,16,-22.87193821122176
2013,DET,4650,29,55.888073760595425,1792,15,-50.13426020510404
2013,GB,4538,25,52.76344005101306,2136,17,8.248223671537403
2013,HOU,4183,19,-75.14400819261388,1743,7,-28.31393839554293
2013,IND,3952,23,24.01735910544264,1743,15,-0.21135117647154056
2013,JAX,3751,16,-91.56746512262339,1260,7,-66.3050556507782
2013,KC,3561,24,26.942234110599607,2056,17,-7.301812046444141
2013,LA,3360,22,-21.106990877445707,1752,10,-53.60377080284777
2013,LAC,4478,32,173.44334986829438,1965,9,-15.532900483959082
2013,LV,3629,17,-40.55087696036974,2000,16,-18.504723191374353
2013,MIA,3966,24,-2.927463101682278,1440,8,-43.95579620339508
2013,MIN,3645,18,-55.7323965969007,2081,23,17.467643558195512
2013,NE,4343,25,71.49838269031706,2065,19,-27.485315706821012
2013,NO,5162,39,145.59499495640364,1473,10,-26.385869978842134
2013,NYG,3875,18,-59.534326657511,1332,11,-79.57333375056255
2013,NYJ,3270,13,-70.14806218309914,2158,12,-28.770303531421575
2013,PHI,4406,32,89.86374426690483,2566,19,5.913605560254172
2013,PIT,4306,28,65.0958350944708,1383,9,-63.19443056745237
2013,SEA,3508,27,79.6669757871197,2188,14,-33.26427799175938
2013,SF,3210,21,58.44059003837301,2201,18,-37.47997150772608
2013,TB,3181,22,-54.751627601681975,1612,6,-38.73699713523597
2013,TEN,3710,22,34.697998122683906,1894,16,-12.471040649243225
2013,WAS,4057,20,-25.843926310680956,2164,14,-11.04561168828785
2014,ARI,3990,21,18.740342135723775,1308,6,-65.70044513291015
2014,ATL,4758,28,73.11575078734307,1498,11,-45.94399624130458
2014,BAL,3986,27,72.34755290800261,2019,16,-25.763741140059658
2014,BUF,3856,23,-6.710149598166307,1482,7,-58.21653767102459
2014,CAR,3828,23,14.271482280248005,2036,10,-29.101412233353702
2014,CHI,4035,30,-34.89196256392273,1441,8,-11.417854594694727
2014,CIN,3551,20,-1.0490658682582303,2147,19,-10.005278051108403
2014,CLE,3678,12,-21.356714359421638,1728,17,-59.595383394823756
2014,DAL,4008,37,148.42937231258986,2354,16,-20.05933301874296
2014,DEN,4779,40,122.59116820600664,1785,15,-27.37392743193739
2014,DET,4284,22,32.462212252129035,1422,11,-54.33739334948026
2014,GB,4447,38,156.3456206095893,1917,14,-26.88282202115503
2014,HOU,3460,22,27.347562189668324,2161,12,-41.06441747219665
2014,IND,5062,42,81.44167854546941,1612,9,-70.43301890304451
2014,JAX,3451,15,-145.26883203755736,1633,9,-29.34027724827224
2014,KC,3428,18,55.5510768101125,1918,18,-7.1330646277821135
2014,LA,3695,20,-50.316644784945375,1635,11,-58.99429235376505
2014,LAC,4296,31,72.04761917942784,1367,6,-51.792953729558484
2014,LV,3456,22,-89.86968717765969,1240,4,-79.37201191589352
