season,player_key,player,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception
2011,eddie royal,Eddie Royal,DEN,WR,12,50,19,155,1,0,8,583,66,-19.54328170430381,0.38,3.1,8.157894736842104,0.02,11.66,3.473684210526316
2011,emmanuel arceneaux,Emmanuel Arceneaux,MIN,WR,1,2,1,10,0,0,1,19,3,0.46464651927817613,0.5,5,10,0,9.5,3
2011,emmanuel sanders,Emmanuel Sanders,PIT,WR,11,43,22,288,2,0,17,570,128,4.275051134101508,0.5116279069767442,6.6976744186046515,13.090909090909092,0.046511627906976744,13.255813953488373,5.818181818181818
2011,eric decker,Eric Decker,DEN,WR,16,97,44,612,8,1,29,1370,170,-21.74068154551044,0.4536082474226804,6.309278350515464,13.909090909090908,0.08247422680412371,14.123711340206185,3.8636363636363638
2011,eric weems,Eric Weems,ATL,WR,16,14,11,90,0,0,5,100,30,4.739085825568146,0.7857142857142857,6.428571428571429,8.181818181818182,0,7.142857142857143,2.727272727272727
2011,golden tate,Golden Tate,SEA,WR,15,58,35,382,3,1,16,662,155,15.678558092100662,0.603448275862069,6.586206896551724,10.914285714285715,0.05172413793103448,11.413793103448276,4.428571428571429
2011,greg camarillo,Greg Camarillo,MIN,WR,8,24,9,121,0,0,6,260,12,-1.2252435268019326,0.375,5.041666666666667,13.444444444444445,0,10.833333333333334,1.3333333333333333
2011,greg jennings,Greg Jennings,GB,WR,13,101,67,949,9,0,43,1200,276,54.08876946634971,0.6633663366336634,9.396039603960396,14.164179104477611,0.0891089108910891,11.881188118811881,4.119402985074627
2011,greg little,Greg Little,CLE,WR,16,121,61,709,2,0,35,1147,243,-0.5586647082560654,0.5041322314049587,5.859504132231405,11.62295081967213,0.01652892561983471,9.479338842975206,3.9836065573770494
2011,greg salas,Greg Salas,LA,WR,6,38,27,264,0,2,11,141,218,1.6155293707484537,0.7105263157894737,6.947368421052632,9.777777777777779,0,3.710526315789474,8.074074074074074
2011,hakeem nicks,Hakeem Nicks,NYG,WR,15,133,76,1192,7,0,54,1843,349,41.49460821891736,0.5714285714285714,8.962406015037594,15.68421052631579,0.05263157894736842,13.857142857142858,4.592105263157895
2011,harry douglas,Harry Douglas,ATL,WR,13,62,39,498,1,0,20,649,232,10.831724938991002,0.6290322580645161,8.03225806451613,12.76923076923077,0.016129032258064516,10.46774193548387,5.948717948717949
2011,jabar gaffney,Jabar Gaffney,WAS,WR,16,115,68,947,5,1,50,1521,181,28.184646497102715,0.591304347826087,8.234782608695653,13.926470588235293,0.043478260869565216,13.226086956521739,2.661764705882353
2011,jacoby ford,Jacoby Ford,LV,WR,8,33,19,279,1,2,14,340,126,-7.573401432624908,0.5757575757575758,8.454545454545455,14.68421052631579,0.030303030303030304,10.303030303030303,6.631578947368421
2011,jacoby jones,Jacoby Jones,HOU,WR,16,65,31,512,2,0,23,930,140,2.6250171024357023,0.47692307692307695,7.876923076923077,16.516129032258064,0.03076923076923077,14.307692307692308,4.516129032258065
2011,jamar newsome,Jamar Newsome,JAX,WR,1,1,0,0,0,0,0,16,0,-1.5706022027879953,0,0,NA,0,16,NA
2011,james butler,James Butler,LA,DB,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
