feature,coefficient
regPrev2TargetShare,2.8043940956616853e-5
regPrev2AirYardsShare,1.9701545021606076e-4
regPrev2Wopr,1.2204540541611313e-4
regPrev2TargetsPerGame,5.900140966837534e-5
regPrev2ReceptionsPerGame,-2.6542988360619957e-4
regPrev2ReceivingYardsPerGame,2.6694653292650544e-4
regPrev2ReceivingTdsPerGame,2.9385272419772343e-4
regPrev2ReceivingFirstDownsPerGame,2.3519893447631785e-4
regPrev2ReceivingEpaPerGame,3.4225612221750205e-4
regPrev2CatchRate,2.4906491734429734e-5
regPrev2YardsPerTarget,-1.556941394078107e-4
regPrev2YardsPerReception,-2.8197329295202823e-4
regPrev2TdPerTarget,-1.8858013889219032e-4
regPrev2AirYardsPerTarget,1.300467807555295e-4
regPrev2YacPerReception,3.3313261301235895e-5
regPrev2RushYardsPerCarry,1.7981539205943597e-4
regPrev2TeamTargetShareCalc,-3.4948869493110105e-5
regPrev2TeamYardsShareCalc,9.813076719049037e-5
regPrev2TeamTdShareCalc,1.3251159704846956e-4
regPrev2TeamAirYardsShareCalc,1.1834631266065176e-4
regYearsAvailable,-8.820103018453364e-4
regWeightedGames,-8.585359673016079e-4
regDeltaGames,-7.483753183466824e-5
regWeightedTargets,-6.928192642636526e-5
regDeltaTargets,-6.160184524367635e-4
regWeightedReceptions,-2.1294301245278546e-5
regDeltaReceptions,-3.108165294718184e-4
regWeightedReceivingYards,6.499106133820956e-4
regDeltaReceivingYards,1.8632701887072092e-4
regWeightedReceivingTds,8.114950783487428e-4
regDeltaReceivingTds,-5.617911481707339e-4
regWeightedReceivingFirstDowns,4.4009082820235085e-4
regDeltaReceivingFirstDowns,-3.254417148240588e-5
regWeightedReceivingEpa,6.612883811155069e-4
regDeltaReceivingEpa,-3.751920513548891e-4
regWeightedReceivingAirYards,3.287678071994437e-4
regDeltaReceivingAirYards,7.112483368469373e-4
regWeightedReceivingYardsAfterCatch,-7.962052780639107e-5
regDeltaReceivingYardsAfterCatch,-2.3230154696154433e-4
regWeightedCarries,-1.854553678875382e-5
regDeltaCarries,3.504625909387396e-4
regWeightedRushingYards,1.2808099642817134e-4
regDeltaRushingYards,-5.054969970431396e-4
regWeightedRushingTds,1.1037490625692977e-4
regDeltaRushingTds,-1.4893182240775668e-4
regWeightedTargetShare,2.5746218476902443e-4
regDeltaTargetShare,-7.758032911362757e-5
regWeightedAirYardsShare,1.507777120302125e-4
regDeltaAirYardsShare,-1.2559901753993278e-4
regWeightedWopr,2.665927397202364e-4
regDeltaWopr,-9.234199202821884e-5
regWeightedTargetsPerGame,-1.479169201097873e-4
regDeltaTargetsPerGame,-6.0836341421505154e-5
regWeightedReceptionsPerGame,-3.5799931617757215e-4
regDeltaReceptionsPerGame,-4.688786954239005e-5
regWeightedReceivingYardsPerGame,5.112305172714379e-4
regDeltaReceivingYardsPerGame,6.030191534288603e-4
regWeightedReceivingTdsPerGame,4.5069087351584535e-5
regDeltaReceivingTdsPerGame,4.548306969093328e-5
regWeightedReceivingFirstDownsPerGame,3.2066118374138097e-4
regDeltaReceivingFirstDownsPerGame,3.6755093626257204e-4
