class,feature,coefficient
1,teamPrev1Carries,0
1,teamPrev1RushingYards,0
1,teamPrev1RushingEpa,0
1,teamPrev1PointsAgainst,0
1,teamPrev1Targets,0
1,teamPrev1ReceivingYards,0
1,teamPrev1ReceivingTds,0
1,teamPrev1ReceivingAirYards,0
1,teamPrev1PassRate,0
1,teamPrev1TeamPlays,0
1,teamPrev1PassingYardsPerAttempt,0
1,teamPrev1PassingYardsPerGame,0
1,teamPrev1PassingTdsPerGame,0
1,teamPrev1PassingEpaPerGame,0
1,teamPrev1ReceivingYardsPerTarget,0
1,teamPrev1PassRateDiffLeague,0
1,teamPrev1PassingYardsPerGameDiffLeague,0
1,teamPrev1PassingEpaPerGameDiffLeague,0
1,teamPrev2Games,0
1,teamPrev2Wins,0
1,teamPrev2Losses,0
1,teamPrev2Ties,0
1,teamPrev2WinPct,0
1,teamPrev2Attempts,0
1,teamPrev2PassingYards,0
1,teamPrev2PassingTds,0
1,teamPrev2PassingEpa,0
1,teamPrev2PassingCpoe,0
1,teamPrev2Carries,0
1,teamPrev2RushingYards,0
1,teamPrev2RushingEpa,0
1,teamPrev2PointsAgainst,0.048911429648516136
1,teamPrev2Targets,0
1,teamPrev2ReceivingYards,0
1,teamPrev2ReceivingTds,0
1,teamPrev2ReceivingAirYards,0
1,teamPrev2PassRate,0
1,teamPrev2TeamPlays,0
1,teamPrev2PassingYardsPerAttempt,0
1,teamPrev2PassingYardsPerGame,0
1,teamPrev2PassingTdsPerGame,0
1,teamPrev2PassingEpaPerGame,0
1,teamPrev2ReceivingYardsPerTarget,0
1,teamPrev2PassRateDiffLeague,0
1,teamPrev2PassingYardsPerGameDiffLeague,0
1,teamPrev2PassingEpaPerGameDiffLeague,0
1,teamYearsAvailable,0
1,teamWeightedGames,0
1,teamDeltaGames,0
1,teamWeightedWins,0
1,teamDeltaWins,0
1,teamWeightedLosses,0
1,teamDeltaLosses,0
1,teamWeightedTies,0
1,teamDeltaTies,0
1,teamWeightedWinPct,0
1,teamDeltaWinPct,0
1,teamWeightedAttempts,0.013527208668833866
1,teamDeltaAttempts,0
1,teamWeightedPassingYards,0
1,teamDeltaPassingYards,0
1,teamWeightedPassingTds,0
1,teamDeltaPassingTds,0
1,teamWeightedPassingEpa,0
1,teamDeltaPassingEpa,0
1,teamWeightedPassingCpoe,0
1,teamDeltaPassingCpoe,0
1,teamWeightedCarries,0
1,teamDeltaCarries,0
1,teamWeightedRushingYards,0
1,teamDeltaRushingYards,0
1,teamWeightedRushingEpa,0
1,teamDeltaRushingEpa,0
1,teamWeightedPointsAgainst,0
1,teamDeltaPointsAgainst,-0.009413402138832737
1,teamWeightedTargets,0
1,teamDeltaTargets,0
1,teamWeightedReceivingYards,0
1,teamDeltaReceivingYards,0
1,teamWeightedReceivingTds,0
1,teamDeltaReceivingTds,0
1,teamWeightedReceivingAirYards,0
1,teamDeltaReceivingAirYards,0.0034140492379602806
1,teamWeightedPassRate,0
1,teamDeltaPassRate,0
1,teamWeightedTeamPlays,0
1,teamDeltaTeamPlays,0.006669110847055209
1,teamWeightedPassingYardsPerAttempt,0
