contractRowId,playerName,playerKey,playerId,pfrId,pairId,termModelId,aavModelId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,expectedTerm,modalTerm,modalTermProb,expectedAavPerc,expectedAav,modalAavPerc,modalAav,impliedCap2026,predictedTerm,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions,expectedAavMillions,modalAavMillions
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,glm_pair,term_ll_final,aavPerc_rl_final,25,3,CHI,1.3471008259524209,1,0.7735705333640489,0.006744290229717598,2033992.2915021325,0.005874151470013431,1771569.4909564317,301587301.5873016,1,0.7735705333640489,0.12013252697235843,0.09450205465418234,0.009215350365943675,0.0025795346434666433,3,901000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901,2.0339922915021327,1.7715694909564317
5460,Bryan Thompson,bryan thompson,00-0038680,ThomBr05,glm_pair,term_ll_final,aavPerc_rl_final,26,3,BUF,1.2035283134142203,1,0.8491677376883352,0.006693292619256492,2018612.059775768,0.006210731742550745,1873077.8271184787,301587301.5873016,1,0.8491677376883352,0.11149933770647481,0.02836785302603272,0.008567016660947965,0.0023980549182090936,3,900500,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9005,2.018612059775768,1.8730778271184787
5471,Dallas Daniels,dallas daniels,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,NA,NA,DEN,1.4709268950069978,1,0.7240803386667676,0.0066700924549319175,2011615.184820737,0.005441299216506724,1641026.7478353614,301587301.5873016,1,0.7240803386667676,0.09193020583431961,0.17494885213754038,0.00706342854789224,0.0019771748134801933,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333,2.011615184820737,1.6410267478353613
5461,Bryce Ford-Wheaton,bryce ford wheaton,00-0038477,FordBr00,glm_pair,term_ll_final,aavPerc_rl_final,26,3,NYG,1.1088346368524593,1,0.9091827673805009,0.006660587603103524,2008748.6422058246,0.006446406084814273,1944154.2160550982,301587301.5873016,1,0.9091827673805009,0.07722260998399841,0.009948196885955033,0.0028700699016328394,7.763558479130079e-4,3,905000,0.004,0,0,0,0,0,0.00285714285714285,NA,0.0042,0.905,2.0087486422058247,1.9441542160550982
5495,Erik Ezukanma,erik ezukanma,00-0038092,EzukEr00,glm_pair,term_ll_final,aavPerc_rl_final,26,4,MIA,1.192561470565441,1,0.8366563748456788,0.006650501965078186,2005706.9418489768,0.006281493025937944,1894418.5316320783,301587301.5873016,1,0.8366563748456788,0.14137282446842464,0.01568469136562876,0.0053251739153123,9.609354049555191e-4,4,1096248,0.0053,2,0,0,0,0.00352112676056338,0.14,NA,0.0042,1.096248,2.0057069418489766,1.8944185316320783
5500,Hunter Renfrow,hunter renfrow,00-0034983,RenfHu00,glm_pair,term_ll_final,aavPerc_rl_final,30,7,CAR,1.0792814180894021,1,0.9371286211060434,0.00662937062163254,1999333.9970002903,0.006457748601396375,1947574.9750243037,301587301.5873016,1,0.9371286211060434,0.05083594687485228,0.00843364968196954,0.0028289574979276752,7.72824839206978e-4,1,1220000,0.0044,26,15,89,2,0.05416666666666667,0.4916666666666667,NA,0.0042,1.22,1.9993339970002904,1.9475749750243037
5581,Shaq Davis,shaq davis,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,25,NA,PHI,1.4884683624630093,1,0.7137493306818196,0.006597108101363905,1989604.0305700672,0.005322734536320843,1605269.14587454,301587301.5873016,1,0.7137493306818196,0.09545456166510935,0.1814241614629881,0.007322306888407989,0.002049639301674956,2,927500,0.0036,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9275,1.9896040305700673,1.60526914587454
5534,Kazmeir Allen,kazmeir allen,00-0038830,AlleKa00,glm_pair,term_ll_final,aavPerc_rl_final,26,3,WAS,1.2183528824281709,1,0.8380130970375173,0.0065613911064825595,1978832.2384629943,0.006043940065893204,1822775.5754281094,301587301.5873016,1,0.8380130970375173,0.12000323705940855,0.03018230357076187,0.009220411102010885,0.0025809512303014803,3,903333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.903333,1.9788322384629944,1.8227755754281094
5597,Tyler Adams,tyler adams,00-0038531,NA,glm_pair,term_ll_final,aavPerc_rl_final,NA,3,IND,1.2994008525663585,1,0.8046865764657668,0.006530020585333966,1969371.2876404026,0.00577946096823791,1743012.038040005,301587301.5873016,1,0.8046865764657668,0.10362523992603614,0.08151402162389637,0.007949078544673612,0.0022250834396271195,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333,1.9693712876404026,1.743012038040005
5598,Tyler Hudson,tyler hudson,00-0038356,NA,glm_pair,term_ll_final,aavPerc_rl_final,25,3,LA,1.3220723579005704,1,0.7899598651600277,0.006508820861336194,1962977.7200855187,0.005701202814065053,1719410.3724958098,301587301.5873016,1,0.7899598651600277,0.11135356784979032,0.08773583071512188,0.00855581647970413,0.002394919795355995,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333,1.9629777200855187,1.7194103724958099
5573,Rondale Moore,rondale moore,00-0036936,MoorRo02,glm_pair,term_ll_final,aavPerc_rl_final,25,5,MIN,1.1974563170183998,1,0.8623700923876825,0.006479448964219919,1954119.5288917217,0.005976441387548901,1802418.8311655417,301587301.5873016,1,0.8623700923876825,0.0926274566433057,0.0329564375419018,0.009268068417148612,0.0027779450099612232,1,2000000,0.0072,NA,NA,NA,NA,NA,NA,NA,0.0042,2,1.9541195288917217,1.8024188311655416
5482,Demetric Felton,demetric felton,NA,NA,glm_pair,term_ll_final,aavPerc_rl_final,27,NA,WAS,1.3810392440772783,1,0.7766843628560747,0.006453678807560843,1946347.5768834285,0.005459694855210215,1646574.6388729222,301587301.5873016,1,0.7766843628560747,0.07449071365154994,0.14152313667551003,0.005704890192753855,0.0015968966241116664,1,1030000,0.0037,NA,NA,NA,NA,NA,NA,NA,0.0042,1.03,1.9463475768834284,1.646574638872922
