contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,termScenario,aavPercPrediction,impliedCap2026,aavPrediction,aavPredictionMillions,termProbability,pairId,termModelId,aavModelId,weightedAavPercContribution,weightedAavContribution,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5599,Tyler Johnson,tyler johnson,00-0036427,JohnTy00,27,6,NYJ,4,0.01870450805077832,301587301.5873016,5641042.110552193,5.641042110552193,0.0037569798919806292,glm_pair,term_ll_final,aavPerc_rl_final,7.0272460636163945e-05,21193.28177916056,1,1170000,0.0042,25.666666666666668,16.666666666666668,228.33333333333337,1,0.05068558956525371,0.3988888888888889,NA,0.0042,1.17
5572,Robert Woods,robert woods,00-0030431,WoodRo02,33,13,PIT,4,0.020266954577084637,301587301.5873016,6112256.142295367,6.112256142295367,0.0037011012263864812,glm_pair,term_ll_final,aavPerc_rl_final,7.501005044036705e-5,22622.078704237687,1,2000000,0.0072,30,20,203,0,0.05484460694698354,0.37066666666666664,NA,0.0042,2
5605,Zay Jones,zay jones,00-0033891,JoneZa00,30,9,ARI,4,0.023419016329821084,301587301.5873016,7062877.940739693,7.0628779407396935,0.003679003866711473,glm_pair,term_ll_final,aavPerc_rl_final,8.61586516319909e-5,25984.355254092497,1,2400000,0.0086,15.666666666666666,10.666666666666666,150,0,0.02645978144210199,0.4459848484848485,NA,0.0042,2.4
5479,Deandre Carter,deandre carter,00-0031763,CartDe02,32,11,CLE,3,0.00587154042314892,301587301.5873016,1770782.0323782458,1.770782032378246,0.003537735652403686,glm_pair,term_ll_final,aavPerc_rl_final,2.0771957889503358e-5,6264.558728580379,1,1422500,0.0051,4.666666666666667,3,24,0,0.00887198986058301,0.04666666666666666,NA,0.0042,1.4225
5569,Ray-Ray McCloud,ray ray mccloud,00-0034407,McClRa00,29,8,ATL,4,0.021236601728938254,301587301.5873016,6404689.410314712,6.404689410314711,0.0035259874664694494,glm_pair,term_ll_final,aavPerc_rl_final,7.487999152663972e-5,22582.85458739928,2,2500000,0.0098,39,25.333333333333332,274.6666666666667,0.3333333333333333,0.07307116225365606,0.6370588235294118,7.885057471264368,0.0042,2.5
5537,Keith Kirkwood,keith kirkwood,00-0034317,KirkKe00,31,8,BAL,4,0.015816235433929127,301587301.5873016,4769975.76578815,4.76997576578815,0.00349271237862857,glm_pair,term_ll_final,aavPerc_rl_final,5.5241561283388076e-5,16660.153402926564,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5570,River Cracraft,river cracraft,00-0034054,CracRi00,31,9,WAS,3,0.0058182348376630616,301587301.5873016,1754705.7446920346,1.7547057446920347,0.0034611670458849684,glm_pair,term_ll_final,aavPerc_rl_final,2.0137882685339267e-5,6073.329698753113,1,1170000,0.0042,3,2.3333333333333335,22,0,0.00528169014084507,0.10916666666666668,NA,0.0042,1.17
5571,Robbie Chosen,robbie chosen,00-0032688,AndeRo04,32,10,WAS,3,0.004856362037851831,301587301.5873016,1464617.122526743,1.464617122526743,0.0034415935018897253,glm_pair,term_ll_final,aavPerc_rl_final,1.6713624032294806e-5,5040.616771644466,1,1255000,0.0045,7.333333333333333,3.6666666666666665,37,0,0.01623630672926447,0.31611111111111106,NA,0.0042,1.255
5519,Jordan Matthews,jordan matthews,00-0031299,NA,33,12,CAR,3,0.013040296054074108,301587301.5873016,3932787.698847747,3.932787698847747,0.0033592148718944773,glm_pair,term_ll_final,aavPerc_rl_final,4.380515643875261e-5,13211.07892597301,1,1255000,0.0045,1,0,0,0,0.00193050193050193,NA,NA,0.0042,1.255
5466,Chris Moore,chris moore,00-0032398,MoorCh00,32,10,WAS,4,0.023438247382647666,301587301.5873016,7068677.782068344,7.0686777820683435,0.0032423922556298365,glm_pair,term_ll_final,aavPerc_rl_final,7.599599179903307e-5,22919.426098121086,1,1255000,0.0045,23,11,207,1,0.05324074074074074,0.3538095238095238,NA,0.0042,1.255
5591,Tim Patrick,tim patrick,00-0033375,PatrTi00,32,9,DET,4,0.02506252329190188,301587301.5873016,7558538.770573583,7.558538770573583,0.0032365811672566834,glm_pair,term_ll_final,aavPerc_rl_final,8.11168908905016e-5,24463.824236817945,1,2500000,0.009,30.666666666666668,21,256,3,0.05734751961821242,0.40895833333333337,NA,0.0042,2.5
5486,DJ Chark,dj chark,00-0034777,CharDJ00,29,8,ATL,4,0.018939794011901784,301587301.5873016,5712001.368668793,5.712001368668793,0.0031245133771655863,glm_pair,term_ll_final,aavPerc_rl_final,5.9177639750947794e-5,17847.22468679378,1,1300000,0.0047,10,4,31,1,0.02036659877800407,0.21714285714285717,NA,0.0042,1.3
5600,Tyler Lockett,tyler lockett,00-0032211,LockTy00,33,11,LV,4,9.489119110911994e-4,301587301.5873016,286179.7827100443,0.2861797827100443,0.003101887905339864,glm_pair,term_ll_final,aavPerc_rl_final,2.943418380246728e-6,887.6976067410767,1,1255000,0.0045,61.333333333333336,37.666666666666664,394,1.3333333333333333,0.11253329796288314,0.5635294117647058,6.22997542997543,0.0042,1.255
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,4,0.017032613136102014,301587301.5873016,5136819.834697433,5.136819834697433,0.0030872187645752894,glm_pair,term_ll_final,aavPerc_rl_final,5.25834028835257e-5,15858.48658392045,1,1030000,0.0037,3,2.3333333333333335,18.333333333333332,0,0.0057377721851406,0.09871794871794871,NA,0.0042,1.03
5510,Jamal Agnew,jamal agnew,00-0033572,AgneJa00,30,9,ATL,4,0.01674269161391785,301587301.5873016,5049383.185149829,5.0493831851498285,0.0030858054690616524,glm_pair,term_ll_final,aavPerc_rl_final,5.166468934904037e-5,15581.414248123288,1,2500000,0.009,0,0,0,0,0,0.00181818181818181,NA,0.0042,2.5
5563,Noah Brown,noah brown,00-0033591,BrowNo00,30,9,WAS,4,0.016291741159556235,301587301.5873016,4913382.254469341,4.913382254469341,0.0030652822293342342,glm_pair,term_ll_final,aavPerc_rl_final,4.9938784661300834e-5,15060.903310551046,1,3250000,0.0116,25.333333333333332,15,206.33333333333337,0.3333333333333333,0.05246913580246912,0.4836363636363636,8.089285714285714,0.0042,3.25
