contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,predictedTerm,expectedTerm
5481,Deebo Samuel,deebo samuel,NA,NA,30,NA,WAS,0.6391770839691162,0.07621900737285614,0.26835134625434875,0.01439811009913683,0.0018544512568041682,1,1.663533834158443
5482,Demetric Felton,demetric felton,NA,NA,27,NA,WAS,0.8234975337982178,0.09476952254772186,0.0761457085609436,0.004107777960598469,0.0014794532908126712,1,1.2653020828729495
5483,Deon Cain,deon cain,00-0034406,CainDe00,29,8,BUF,0.8886882066726685,0.08932457119226456,0.017789270728826523,0.002779922215268016,0.0014179692370817065,1,1.1389146962901577
5484,Dez Fitzpatrick,dez fitzpatrick,00-0036627,FitzDe00,28,5,LAC,0.9112281799316406,0.07679709047079086,0.008450636640191078,0.002252124948427081,0.001272002817131579,1,1.1055427846731618
5485,Diontae Johnson,diontae johnson,00-0035216,JohnDi01,29,7,CLE,0.9157664775848389,0.060495924204587936,0.017002929002046585,0.005224492400884628,0.0015101192984730005,1,1.116215679096058
5486,DJ Chark,dj chark,00-0034777,CharDJ00,29,8,ATL,0.9515851140022278,0.04031195864081383,0.005156732629984617,0.0019659027457237244,9.802763815969229e-4,1,1.0604442220646888
5487,DJ Montgomery,dj montgomery,NA,NA,29,NA,IND,0.8235353231430054,0.09477386623620987,0.07614920288324356,0.004062074702233076,0.0014795210445299745,1,1.265176568296738
5488,Donovan Peoples-Jones,donovan peoples jones,00-0036233,PeopDo00,27,6,NO,0.881090521812439,0.09622947871685028,0.01839495077729225,0.0030096026603132486,0.0012755137868225574,1,1.147150311153382
5489,Dontavian Jackson,dontavian jackson,NA,NA,28,NA,MIN,0.8344564437866211,0.09275183081626892,0.0652901828289032,0.005996886175125837,0.0015046321786940098,1,1.247341359499842
5490,Dontay Demus Jr.,dontay demus jr,00-0038447,DemuDo00,25,3,BAL,0.8410214781761169,0.09580031782388687,0.058019451797008514,0.003695902181789279,0.0014629068318754435,1,1.2287786121014506
5491,Easop Winston,easop winston,00-0036080,WinsEa00,29,5,NYJ,0.8853734731674194,0.09061449021100998,0.020742421969771385,0.0019728371407836676,0.001296755624935031,1,1.1432048461865634
5492,Ed Lee,ed lee,NA,NA,27,NA,NE,0.7698038816452026,0.09924916923046112,0.12254045158624649,0.006733485963195562,0.0016730716452002525,1,1.3712228769436479
5493,Elijah Moore,elijah moore,00-0036980,MoorEl00,25,5,BUF,0.9432007670402527,0.03058880940079689,0.016383228823542595,0.007820493541657925,0.0020066893193870783,1,1.0948434930760413
5494,Equanimeous St. Brown,equanimeous st brown,00-0034279,St.BEq00,29,8,SF,0.9376753568649292,0.05232419818639755,0.006703896913677454,0.002318575046956539,9.779563406482339e-4,1,1.076599525869824
5495,Erik Ezukanma,erik ezukanma,00-0038092,EzukEr00,26,4,MIA,0.849748432636261,0.1320417821407318,0.011983978562057018,0.0046675787307322025,0.001558151445351541,1,1.1762450047535822
