contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5508,Jalen Reagor,jalen reagor,00-0036387,ReagJa00,27,6,LAC,1,1337500,0.0048,12,7,100,0,0.02443991853360488,0.28250000000000003,NA,0.0042,1.3375
5509,Jalen Sample,jalen sample,NA,NA,27,NA,WAS,3,899167,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.899167
5510,Jamal Agnew,jamal agnew,00-0033572,AgneJa00,30,9,ATL,1,2500000,0.009,0,0,0,0,0,0.00181818181818181,NA,0.0042,2.5
5511,James Proche,james proche,00-0036133,ProcJa00,29,6,TEN,1,1170000,0.0042,9,5,50.333333333333336,0,0.01667162668888756,0.2081481481481481,NA,0.0042,1.17
5512,Jauan Jennings,jauan jennings,00-0036259,JennJa00,28,6,SF,2,5945000,0.02329999999999999,97.66666666666669,62.333333333333336,753.6666666666666,8,0.182515210585386,0.7951111111111112,7.639069157653229,0.0042,5.945
5513,Jerome Kapp,jerome kapp,00-0039033,NA,NA,3,NYJ,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5514,Jesse Matthews,jesse matthews,00-0038726,MattJe00,26,3,ATL,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5515,John Hall,john hall,00-0038759,NA,28,3,SEA,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5516,Johnny Johnson,johnny johnson,NA,NA,26,NA,HOU,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5517,Johnny King,johnny king,00-0038434,NA,26,3,IND,3,900000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9
5518,Jordan Byrd,jordan byrd,NA,NA,26,NA,PIT,3,900833,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.900833
5519,Jordan Matthews,jordan matthews,00-0031299,NA,33,12,CAR,1,1255000,0.0045,1,0,0,0,0.00193050193050193,NA,NA,0.0042,1.255
5520,Jose Barbon,jose barbon,00-0038730,NA,26,3,DAL,3,899333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.899333
5521,Joseph Ngata,joseph ngata,00-0038484,NgatJo01,25,3,PHI,3,908333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.908333
5522,Josh Reynolds,josh reynolds,00-0033943,ReynJo00,31,9,NYJ,1,2750000,0.0098,22,11.666666666666666,132,0.3333333333333333,0.04423296594733105,0.7357777777777778,NA,0.0042,2.75
5523,Josh Vann,josh vann,00-0038780,NA,26,3,CAR,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5524,JuJu Smith-Schuster,juju smith schuster,00-0033857,SmitJu00,29,9,KC,1,1422500,0.0051,38.666666666666664,28,307,1.3333333333333333,0.06979632389468454,0.5370448179271708,7.666666666666667,0.0042,1.4225
5525,Julian Hicks,julian hicks,00-0039329,HickJu01,26,2,GB,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5526,Justin Marshall,justin marshall,00-0038929,NA,NA,3,ATL,3,904167,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.904167
5527,Justyn Ross,justyn ross,00-0037216,RossJu00,26,4,KC,1,960000,0.0034,1,0,0,0,0.00174825174825174,0.09,NA,0.0042,0.96
5528,Juwann Winfree,juwann winfree,00-0035593,WinfJu00,29,7,HOU,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5529,K.J. Hamler,k j hamler,NA,NA,26,NA,BUF,1,1108000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,1.108
5530,K.J. Osborn,k j osborn,00-0036345,OsboKJ00,28,6,WAS,1,1195000,0.0043,18,7,57,1,0.036,0.495,NA,0.0042,1.195
5531,Kade Warner,kade warner,00-0038829,NA,27,3,TB,3,900000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9
5532,Kaden Davis,kaden davis,00-0037380,DaviKa02,27,4,CLE,1,840000,0.003,0,0,0,0,0,0.09000000000000001,NA,0.0042,0.84
